artist,song,duration,ts,sessionid,auth,level,itemInSession,city,zip,state,userAgent,lon,lat,userId,lastName,firstName,gender,registration,year,month,hour,day
Curtis Mayfield,People Never Give Up,348.60364,2026-04-18T19:02:56.000+07:00,,Logged In,paid,1,Denville,,NJ,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-74.490462,40.887246,44,Mathews,Coen,M,1618721245000,2026,4,19,18
C̩line Dion,"""Because You Loved Me (Theme from \\""Up Close and Personal\\"")""",274.5726,2026-04-18T19:08:44.000+07:00,,Logged In,paid,2,Denville,,NJ,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-74.490462,40.887246,44,Mathews,Coen,M,1618721245000,2026,4,19,18
Dario Marianelli,The Harbour,227.99628,2026-06-30T19:12:56.000+07:00,,Logged In,paid,0,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,19,30
Alexandre Desplat,Meeting Daisy,81.71057,2026-04-18T19:13:18.000+07:00,,Logged In,paid,3,Denville,,NJ,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-74.490462,40.887246,44,Mathews,Coen,M,1618721245000,2026,4,19,18
Bob Dylan,Trying To Get To Heaven,320.70486,2026-04-18T19:14:39.000+07:00,,Logged In,paid,4,Denville,,NJ,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-74.490462,40.887246,44,Mathews,Coen,M,1618721245000,2026,4,19,18
Jazzy B,Soorma,411.68933,2026-06-30T19:16:43.000+07:00,,Logged In,paid,1,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,19,30
Pagan Wanderer Lu,Knight -> King 4,346.25262,2026-05-04T19:17:25.000+07:00,,Logged In,free,0,Indianapolis,,IN,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:31.0) Gecko/20100101 Firefox/31.0,-86.233341,39.898613,18,Barber,Aiden,M,1620103645000,2026,5,19,4
Zeca Baleiro,Telegrama,364.7212,2026-05-04T19:23:11.000+07:00,,Logged In,free,1,Indianapolis,,IN,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:31.0) Gecko/20100101 Firefox/31.0,-86.233341,39.898613,18,Barber,Aiden,M,1620103645000,2026,5,19,4
Bally Sagoo,Hey Jamalo ((Def Mix)),433.42322,2026-06-30T19:23:34.000+07:00,,Logged In,paid,2,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,19,30
Domna Kountouri,De Tha Mai Edo,209.94566,2026-06-30T19:30:47.000+07:00,,Logged In,paid,3,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,19,30
