ts,sessionId,page,auth,method,status,level,itemInSession,city,zip,state,userAgent,lon,lat,userId,lastName,firstName,gender,registration,artist,song,duration,year,month,hour,day
2026-01-01T01:41:57.000+07:00,1250,Home,Logged In,GET,200,paid,1,West Palm Beach,,FL,"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53",-80.0584,26.6696,170,Mathews,Robert,M,1751204279000,,,,2026,1,1,1
2026-01-01T01:42:39.000+07:00,1250,NextSong,Logged In,PUT,200,paid,2,West Palm Beach,,FL,"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53",-80.0584,26.6696,170,Mathews,Robert,M,1751204279000,Bob Dylan,Someone Like You,240.52038,2026,1,1,1
2026-01-01T01:47:13.000+07:00,1250,NextSong,Logged In,PUT,200,paid,3,West Palm Beach,,FL,"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53",-80.0584,26.6696,170,Mathews,Robert,M,1751204279000,Dario Marianelli,Meeting Daisy,358.18932,2026,1,1,1
2026-01-01T01:54:38.000+07:00,1250,NextSong,Logged In,PUT,200,paid,4,West Palm Beach,,FL,"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53",-80.0584,26.6696,170,Mathews,Robert,M,1751204279000,Zeca Baleiro,God's Plan,223.71397,2026,1,1,1
2026-01-01T01:59:33.000+07:00,1250,NextSong,Logged In,PUT,200,paid,5,West Palm Beach,,FL,"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53",-80.0584,26.6696,170,Mathews,Robert,M,1751204279000,Alexandre Desplat,The Harbour,168.72943,2026,1,1,1
2026-01-01T02:03:19.000+07:00,1250,NextSong,Logged In,PUT,200,paid,6,West Palm Beach,,FL,"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53",-80.0584,26.6696,170,Mathews,Robert,M,1751204279000,Adele,Let It Be,277.98487,2026,1,2,1
2026-01-01T02:08:57.000+07:00,1250,NextSong,Logged In,PUT,200,paid,7,West Palm Beach,,FL,"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53",-80.0584,26.6696,170,Mathews,Robert,M,1751204279000,The Beatles,Telegrama,339.54091,2026,1,2,1
2026-01-01T02:16:31.000+07:00,1250,NextSong,Logged In,PUT,200,paid,8,West Palm Beach,,FL,"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53",-80.0584,26.6696,170,Mathews,Robert,M,1751204279000,Zeca Baleiro,Telegrama,124.51214,2026,1,2,1
2026-01-01T03:35:37.000+07:00,1649,Home,Logged In,GET,200,paid,1,Chicago,,IL,"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53",-87.6298,41.8781,678,Williams,Jennifer,F,1739787311000,,,,2026,1,3,1
2026-01-01T03:36:16.000+07:00,1649,NextSong,Logged In,PUT,200,paid,2,Chicago,,IL,"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53",-87.6298,41.8781,678,Williams,Jennifer,F,1739787311000,Taylor Swift,Let It Be,181.25873,2026,1,3,1
2026-01-01T03:39:42.000+07:00,1649,NextSong,Logged In,PUT,200,paid,3,Chicago,,IL,"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53",-87.6298,41.8781,678,Williams,Jennifer,F,1739787311000,Zeca Baleiro,Knight -> King 4,335.57799,2026,1,3,1
