ts,sessionId,page,auth,method,status,level,itemInSession,city,zip,state,userAgent,lon,lat,userId,lastName,firstName,gender,registration,artist,song,duration,year,month,hour,day
2026-08-07T18:22:51.000+07:00,184,Home,Logged In,GET,200,free,0,Bryan,,TX,"\"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",-96.322612,30.661252,65,Jones,Lillian,F,1628311645000,,,,2026,8,18,7
2026-08-07T19:02:55.000+07:00,43,Home,Logged In,GET,200,paid,0,Denville,,NJ,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",-74.490462,40.887246,44,Mathews,Coen,M,1628311645000,,,,2026,8,19,7
2026-08-07T19:02:56.000+07:00,43,NextSong,Logged In,PUT,200,paid,1,Denville,,NJ,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",-74.490462,40.887246,44,Mathews,Coen,M,1628311645000,Curtis Mayfield,People Never Give Up,348.60364,2026,8,19,7
2026-08-07T19:08:44.000+07:00,43,NextSong,Logged In,PUT,200,paid,2,Denville,,NJ,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",-74.490462,40.887246,44,Mathews,Coen,M,1628311645000,C̩line Dion,"\"Because You Loved Me (Theme from \\\"Up Close and Personal\\\")\"",274.5726,2026,8,19,7
2026-08-07T19:12:56.000+07:00,149,NextSong,Logged In,PUT,200,paid,0,West Palm Beach,,FL,"\"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",-80.058452,26.669649,82,Cannon,Ivan,M,1751841516000,Dario Marianelli,The Harbour,227.99628,2026,8,19,7
2026-08-07T19:13:18.000+07:00,43,NextSong,Logged In,PUT,200,paid,3,Denville,,NJ,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",-74.490462,40.887246,44,Mathews,Coen,M,1628311645000,Alexandre Desplat,Meeting Daisy,81.71057,2026,8,19,7
2026-08-07T19:14:39.000+07:00,43,NextSong,Logged In,PUT,200,paid,4,Denville,,NJ,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",-74.490462,40.887246,44,Mathews,Coen,M,1628311645000,Bob Dylan,Trying To Get To Heaven,320.70486,2026,8,19,7
2026-08-07T19:15:15.000+07:00,43,Home,Logged In,GET,200,paid,5,Denville,,NJ,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",-74.490462,40.887246,44,Mathews,Coen,M,1628311645000,,,,2026,8,19,7
2026-08-07T19:16:43.000+07:00,149,NextSong,Logged In,PUT,200,paid,1,West Palm Beach,,FL,"\"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",-80.058452,26.669649,82,Cannon,Ivan,M,1751841516000,Jazzy B,Soorma,411.68933,2026,8,19,7
2026-08-07T19:17:25.000+07:00,188,NextSong,Logged In,PUT,200,free,0,Indianapolis,,IN,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:31.0) Gecko/20100101 Firefox/31.0,-86.233341,39.898613,18,Barber,Aiden,M,1628311645000,Pagan Wanderer Lu,Knight -> King 4,346.25262,2026,8,19,7
2026-08-07T19:23:11.000+07:00,188,NextSong,Logged In,PUT,200,free,1,Indianapolis,,IN,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:31.0) Gecko/20100101 Firefox/31.0,-86.233341,39.898613,18,Barber,Aiden,M,1628311645000,Zeca Baleiro,Telegrama,364.7212,2026,8,19,7
2026-08-07T19:23:16.000+07:00,188,About,Logged In,GET,200,free,2,Indianapolis,,IN,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:31.0) Gecko/20100101 Firefox/31.0,-86.233341,39.898613,18,Barber,Aiden,M,1628311645000,,,,2026,8,19,7
2026-08-07T19:23:34.000+07:00,149,NextSong,Logged In,PUT,200,paid,2,West Palm Beach,,FL,"\"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",-80.058452,26.669649,82,Cannon,Ivan,M,1751841516000,Bally Sagoo,Hey Jamalo ((Def Mix)),433.42322,2026,8,19,7
2026-08-07T19:30:47.000+07:00,149,NextSong,Logged In,PUT,200,paid,3,West Palm Beach,,FL,"\"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",-80.058452,26.669649,82,Cannon,Ivan,M,1751841516000,Domna Kountouri,De Tha Mai Edo,209.94566,2026,8,19,7
2026-08-07T19:33:42.000+07:00,122,NextSong,Logged In,PUT,200,free,0,Young America,,MN,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",-93.937971,44.823812,55,Estrada,Daniel,M,1733779418000,Paul Glazby,Beautiful,541.5179,2026,8,19,7
2026-08-07T19:34:16.000+07:00,149,NextSong,Logged In,PUT,200,paid,4,West Palm Beach,,FL,"\"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",-80.058452,26.669649,82,Cannon,Ivan,M,1751841516000,Willie Bobo,It's Not Unusual,139.49342,2026,8,19,7
2026-08-07T19:36:35.000+07:00,149,NextSong,Logged In,PUT,200,paid,5,West Palm Beach,,FL,"\"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",-80.058452,26.669649,82,Cannon,Ivan,M,1751841516000,Fred Locks,Don't Wait For Me,243.43465,2026,8,19,7
2026-08-07T19:40:38.000+07:00,149,NextSong,Logged In,PUT,200,paid,6,West Palm Beach,,FL,"\"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",-80.058452,26.669649,82,Cannon,Ivan,M,1751841516000,Brian Tyler,I Dream Of Chi Chi,52.87138,2026,8,19,7
2026-08-07T19:41:30.000+07:00,149,NextSong,Logged In,PUT,200,paid,7,West Palm Beach,,FL,"\"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",-80.058452,26.669649,82,Cannon,Ivan,M,1751841516000,3 Way Funk,Real Playaz,210.25914,2026,8,19,7
2026-08-07T19:42:43.000+07:00,122,NextSong,Logged In,PUT,200,free,1,Young America,,MN,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",-93.937971,44.823812,55,Estrada,Daniel,M,1733779418000,Arthur Tracy,Where Are You?,188.86485,2026,8,19,7
2026-08-07T19:45:00.000+07:00,149,NextSong,Logged In,PUT,200,paid,8,West Palm Beach,,FL,"\"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",-80.058452,26.669649,82,Cannon,Ivan,M,1751841516000,Kris Gruen,Prayer Walk,185.28609,2026,8,19,7
2026-08-07T19:45:51.000+07:00,122,NextSong,Logged In,PUT,200,free,2,Young America,,MN,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",-93.937971,44.823812,55,Estrada,Daniel,M,1733779418000,1. Futurologischer Congress,Tokyo,135.41832,2026,8,19,7
2026-08-07T19:48:05.000+07:00,149,NextSong,Logged In,PUT,200,paid,9,West Palm Beach,,FL,"\"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",-80.058452,26.669649,82,Cannon,Ivan,M,1751841516000,Kane,Rain Down On Me,395.833,2026,8,19,7
2026-08-07T19:48:06.000+07:00,122,NextSong,Logged In,PUT,200,free,3,Young America,,MN,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",-93.937971,44.823812,55,Estrada,Daniel,M,1733779418000,Buju Banton,Destiny,239.0722,2026,8,19,7
2026-08-07T19:52:05.000+07:00,122,NextSong,Logged In,PUT,200,free,4,Young America,,MN,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",-93.937971,44.823812,55,Estrada,Daniel,M,1733779418000,John Mayall & The Bluesbreakers,All Your Love,214.69995,2026,8,19,7
2026-08-07T19:54:40.000+07:00,149,NextSong,Logged In,PUT,200,paid,10,West Palm Beach,,FL,"\"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",-80.058452,26.669649,82,Cannon,Ivan,M,1751841516000,Charles Williams,Close Up,64.05179,2026,8,19,7
2026-08-07T19:55:39.000+07:00,122,NextSong,Logged In,PUT,200,free,5,Young America,,MN,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",-93.937971,44.823812,55,Estrada,Daniel,M,1733779418000,The Hokum Boys,Ain't Goin' To Beg You For That Stuff,209.7367,2026,8,19,7
2026-08-07T19:55:44.000+07:00,149,NextSong,Logged In,PUT,200,paid,11,West Palm Beach,,FL,"\"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",-80.058452,26.669649,82,Cannon,Ivan,M,1751841516000,Michael Bloomfield,Let the People Dance,180.45341,2026,8,19,7
2026-08-07T19:58:44.000+07:00,149,NextSong,Logged In,PUT,200,paid,12,West Palm Beach,,FL,"\"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",-80.058452,26.669649,82,Cannon,Ivan,M,1751841516000,Los Aut̩nticos Decadentes,Que Vas A Hacer Conmigo,205.37424,2026,8,19,7
